ResonceID,wireless.network.dissatisfaction.factor,wireless.network.dissatisfaction.text,wireless.network.feedback,myslice.satisfied,myslice.dissatisfation.factor,myslice.dissatisfation.text,myslice.feedback,video.conferencing.use,zoom.satisfied,zoom.dissatisfaction.factor,zoom.dissatisfaction.text,teams.vid.satisfied,teams.vid.dissatisfaction.factor,teams.vid.dissatisfaction.text,balance.security.usability,security.min.impact.on.work,security.effective.communication,security.know.who.to.talk.to,security.yearly.training,security.feedback,teach.2021-22,teach.platforms,blackboard.satisfied,blackboard.dissatisfation.factor,blackboard.dissatisfation.text,kaltura.satisfied,kaltura.dissatisfation.factor,kaltura.dissatisfation.text,playposit.satisfied,playposit.dissatisfation.factor,playposit.dissatisfation.text,google.suite.satisfied,google.suite.dissatisfation.factor,google.suite.dissatisfation.text,teaching.tools.find.information,teaching.tools.help.support,teaching.tools.communication,teaching.tools.feedback,assistive.tech.use,assistive.tech.use.list,assistive.tech.use.text,syracuse.edu.navigation,syracuse.edu.organization,accessibility.feedback,accessibility.policy.knowlege,accessibility.doc.creation.impact,accessibility.aware.toolkit,accessibility.professional.development,accessibility.feedback,campus.resources.text,it.challenges.text.1,it.challenges.text.2,it.challenges.text.3
512,,,,Somewhat agree,,,,Yes,Strongly agree,,,Somewhat disagree,Other,I prefer Zoom,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,,No,,,,,,,,,,,,,,,,,,No,,,Disagree,Disagree,,Somewhat agree,Disagree,Strongly agree,Strongly agree,,,,,
513,,,,Agree,,,,Yes,Agree,,,Agree,,,Agree,Agree,Agree,Agree,Agree,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Agree,,Agree,Agree,Agree,Agree,,,,,
514,,,,Disagree,Ease of use,,,Yes,Agree,,,Agree,,,Somewhat agree,Somewhat disagree,Agree,Agree,Disagree,,Yes,Blackboard,Somewhat disagree,"Ease of use,Platform features",,,,,,,,,,,Somewhat agree,Somewhat disagree,Somewhat agree,,No,,,Agree,Agree,,Agree,Somewhat agree,Somewhat agree,Disagree,,,,,
515,,,Wireless network has pretty good speed and has been reliable in most areas of campus. ,Somewhat agree,,,"When MySlice was redesigned/updated a year or so ago, some aspects became easier to find while others became much more diffucult. ",Yes,Strongly agree,,,Strongly agree,,,Agree,Agree,Agree,Strongly agree,Somewhat disagree,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Agree,,Somewhat agree,Agree,Somewhat disagree,Disagree,,"The School of Education’s IT team of Paula, Sean and Shannon are excellent at what they do and are very knowledgeable and helpful when anything comes up! ",,,
516,"Ease of connection,Information Technology Services support for using/troubleshooting,Other",University supplied computer wont connect to AirOrangex no matter what i do. So i just use what it connects me too with ease SUAD,University supplied computers should make their way to faculty already able to connect with ease to the system,Somewhat agree,,,"Because the buttons move depending on whether you are accessing from phone, tablet or computer it can be a bit annoying to figure out where you need to go",Yes,Agree,,,Somewhat agree,,,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Faculty shouldnt need Administrator passwords for daily usage or software updates. Its a little better with the self service rather than the managed software. ,Yes,Blackboard,Somewhat disagree,Information Technology Services support for using/troubleshooting,,,,,,,,,,,Somewhat disagree,Somewhat agree,Somewhat disagree,,Yes,Voiceover for Mac,,Somewhat agree,Somewhat agree,,Somewhat disagree,Somewhat disagree,Disagree,Agree,,,,,
517,,,,Agree,,,,Yes,Strongly agree,,,Agree,,,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,,No,,,,,,,,,,,,,,,,,,No,,,Strongly agree,Agree,,Strongly agree,Strongly agree,Strongly agree,Agree,,,,,
518,,,It seems adequate.,Disagree,Platform features,,"My dissatisfaction comes when I have to approve payroll.  I keep getting messages saying I have not logged out but yet I can make approvals.  However, I always log out properly after using myslice.  It's just irritating to have to make multiple log ins to eventually be able to approve staff pay submissions.",Yes,Strongly agree,,,Disagree,Ease of use,,Agree,Strongly Disagree,Agree,Agree,Disagree,I don't think yearly or semi-yearly training would be helpful because things like with security change so quickly.  What would help is easier access and support when having security issues or having easier access to documentation about what to do when I run into security issues.,Yes,Blackboard,Agree,,,,,,,,,,,,Agree,Agree,Agree,I generally have had good experiences with blackboard.  I find blackboard help confusing in many instances or documentation of what to do does not keep up with the actual functionality on the blackboard system.  So a lot of time I have to learn from trial and error which is a drain on my time.,No,,,Disagree,Strongly disagree,"It seems the university and my college are constantly moving things on the website, or making updates, or rebranding which leads to changes in where things are on websites.  Less rebranding changes would provide some constancy and really help with better navigating our websites.",Agree,Strongly disagree,Agree,Strongly disagree,"I have multiple trainings on accessibility yet I more often than not my documents etc are deemed not to meet accessibility requirements.  Partly its due to the fact things change quickly.  Also contributing is the fact that accessibility is tangental to my work as a faculty member.  It would be best to have folks trained in accessibility accessible (excuse the pun) to me and other faculty to help with ensuring things are accessible. For example, if I want to send a  flyer or some other similar document I would like to be able to send it to someone with expertise who can make  it into a form that is accessible.",Generally campus computing works for me.  I just have specific issues that make my work more difficult and I have already shared those in earlier parts of this survey.,I am a department chair and constantly get told things I want to forward to faculty or students don't meet accessibility standards and so can't be sent out.  Would like to have someone or some place where I can get help to make these documents accessible.,Solve the problem of when I go into myslice to approve payrolls I have to log in multiple times until I get lucky and one of these attempts then finally allows me to enter and make approvals.,
519,,,The students complain that it is spotty in select classroom or rather slow to log on to.,Somewhat agree,,,,Yes,Agree,,,Strongly disagree,Ease of use,,Agree,Agree,Agree,Agree,Disagree,,Yes,"Blackboard,Kaltura,Google Suite",Somewhat disagree,"Ease of use,Platform features,Other","I already BB Ultra Experience. Apart from the lack of color, I like it much better.",Strongly agree,,,,,,Agree,,,Somewhat agree,Agree,Agree,"I have used ITS support frequently. Wonderful, approachable, and professional people! I love that they are tech nerds with degrees in education, listen carefully, and respond promptly. ",No,,,Somewhat agree,Disagree,"For whatever reason, it is not pleasing to the eye (font, structure), and it is not as intuitive as I would want it to be. ",Agree,Somewhat agree,Strongly agree,Somewhat disagree,I took this training a few years ago. It was effective. I would want to take it again if there are substantial updates and changes.,"ITS, esp. Matthew Warne and Jason Webb. Fantastic, professional, knowledgeable people with a lot of tolerance for tech illiterate people at any level.","I did not like the old Blackboard, I like the new one but I only use its basic functions. I wish it had more colors or ways to make various folders more discernable (that is what the students say, too). The students say BB Ultra Experience works much better on tablets and phones, so students who for whatever reason have occassionally no access to a computer do not feel left behind. ","What I as a language instructor find frustrating is that Kaltura cannot understand translanguaging, i.e., when words of other languages, e.g., Russian, German, or Korean, are intermingled in a conversation, lesson, or lecture. We can choose to set the closed captions to other languages, but their quality is definitely poor. This is none of ITS fault but results in the fact that the worth of (teaching) languages other than English are not really taken as seriously on campus as they should be.","Not a challenge but an observation: I have had issues with tech in classrooms that did not function well or at all, and the LEMP people responded promptly (as in: emailing back INSTANTLY and fixing the problem within less than an hour). You did not ask for this as this refers to hardware issues, but I think it goes hand in hand with ITS. So glad to have these wonderful and patient people around!
"
520,"Ease of connection,Speed,Stability",,"In some buildings, the wireless connection is quite poor. Sometimes the system forces me to try sign onto Guest access when I am not a guest. It's more of a struggle than it used to be. Trying to host a Zoom meeting is perilous.",Agree,,,I don't get communications about MySlice to my knowledge.,Yes,Somewhat agree,,,,,,Agree,Somewhat agree,Agree,Strongly agree,Somewhat agree,No.,Yes,Blackboard,Strongly agree,,,,,,,,,,,,Agree,Agree,Somewhat disagree,I've been advocating for years for SU to have a centralized approach to its online coursework that is not dependent on the tech-savviness of individual faculty members. No one has listened to me and I've stopped making this recommendation at SU.,No,,,Agree,Agree,,Agree,Agree,Somewhat disagree,Somewhat agree,,Most of them.,,,
521,,,"Is USAD, which I'm using now, the same as Air Orange? ",Agree,,,Some stuff that used to be easy to find is now buried in a sub-menu somewhere since the changes to the interface.,Yes,Agree,,,Agree,,,Somewhat disagree,Somewhat disagree,Somewhat agree,Agree,Somewhat agree,,Yes,Blackboard,Strongly agree,,,,,,,,,,,,Agree,Agree,Agree,There might be TOO many emails on the topic sent out--I start to tune them out.,No,,,Strongly agree,Strongly agree,,Somewhat agree,,,,,,,,
522,Ease of connection,,,Agree,,,,No,,,,,,,Agree,Agree,Somewhat agree,Agree,Somewhat agree,,Yes,Blackboard,Agree,,,,,,,,,,,,Agree,Strongly agree,Somewhat agree,,No,,,Agree,Agree,,Somewhat disagree,Somewhat disagree,Disagree,Somewhat agree,,,,,
523,"Ease of connection,Stability",,"As of the second week of this semester, it takes about 7-10 minutes to connect to AirOrangeX. I waste the start of each class waiting and waiting and waiting. It happens to me, the students in my class, and every professor teaching in the rooms I teach in.",Disagree,"Ease of use,Platform features",,The UI/UX is HORRIBLE. We need a completely new system (boo to People Soft).,Yes,Strongly agree,,,Somewhat agree,,,Somewhat disagree,Agree,Somewhat agree,Disagree,,,Yes,"Blackboard,Google Suite",Agree,,,,,,,,,Strongly agree,,,Agree,,,,No,,,Somewhat agree,Somewhat agree,,Somewhat agree,Agree,Agree,Somewhat agree,,,Please please please fix the Wifi in Newhouse.,,
524,,,,Strongly agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,,,,Agree,,,"For the most part, it is easy to find the information and navigate myslice. The only problem is when we are supposed to fill in forms about vaccination, etc. Sometimes, tiles are duplicated.",Yes,Strongly agree,,,Somewhat agree,,,Agree,Somewhat disagree,Strongly agree,Strongly agree,Disagree,There are apps that are useful for teaching and research that we cannot use due to security concerns. Not being able to use them can have a negative impact.,Yes,"Blackboard,Kaltura,Google Suite",Agree,,,Strongly agree,,,,,,Strongly agree,,,Agree,Strongly agree,Strongly agree,,No,,,Agree,Agree,"I have some concerns about the information on the department web pages. The system is a bit too rigid and does not permit adding information that may be useful to students, i.e. course offerings in a given semester. The information is limited to that in the catalog which often is too short. It would be great to be able to provide more complete information about the courses on the department web page, and also to have the opportunity of including images related to the course (requirements they fulfill, type of instruction, etc.) when its content is mostly visual. ",Agree,Agree,Agree,Disagree,,"The software (Microsoft, Adobe), the Google Suite and Blackboard.",,,
526,,,,Disagree,"Ease of use,Platform features",,,Yes,Strongly agree,,,Somewhat agree,,,Agree,Agree,,Somewhat agree,Disagree,,Yes,"Blackboard,Kaltura",Somewhat disagree,"Ease of use,Platform features",,Somewhat agree,,,,,,,,,Agree,Agree,,,No,,,Somewhat disagree,Somewhat disagree,,Agree,,,,,,,,
527,,,,Somewhat agree,,,,Yes,Agree,,,Somewhat agree,,,Somewhat agree,Agree,Somewhat agree,Agree,Agree,,No,,,,,,,,,,,,,,,,,,No,,,Somewhat agree,Somewhat disagree,,Somewhat disagree,,,,,,,,
528,,,,Agree,,,,Yes,Agree,,,Agree,,,Agree,Somewhat disagree,Somewhat agree,Agree,Agree,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Agree,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,
529,,,,Agree,,,,Yes,,,,Agree,,,Agree,Agree,,Agree,Agree,,No,,,,,,,,,,,,,,,,,,No,,,,,,Somewhat agree,,,,,,"Wireless printing support for Linux distributions would be helpful, even if it only focuses on one, such as Ubuntu Linux. I'm only aware of official support for Windows, Mac and ChromeOS. Even if just the technical instructions needed are provided as a self-help format, that would actually help in a lot of cases. ",,
530,,,,Agree,,,,Yes,Agree,,,Agree,,,Agree,Agree,Agree,Strongly agree,Somewhat agree,"The newsletters ITS puts out are great. Understand need for training and password changes. However, more frequent training would be a hindrance to getting work done.",Yes,"Blackboard,Kaltura",Somewhat agree,,,Somewhat agree,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat agree,"Blackboard is not always easy to use and sometimes glitchy. And some of the functionality it's unclear who to go to for help. For example, posting a textbook purchase online through blackboard was highly problematic and I kept getting bounced between the bookstore and the textbook vendor. Never did get it to work quite right.",No,,,Strongly agree,Agree,it's gotten better over the years. consistency is key!,Agree,Disagree,Somewhat agree,Somewhat agree,"it's critical that all information shared is accessible, but it does add considerable extra time and effort to ensure this. And not all departments are good about doing this.",all covered in my responses.,all covered in my responses,,
531,,,,Somewhat agree,,,,Yes,Strongly agree,,,Strongly disagree,"Ease of use,Reliability,Picture quality",,Agree,Somewhat agree,Agree,Disagree,Somewhat disagree,,Yes,Blackboard,Agree,,,,,,,,,,,,Agree,Agree,Agree,,No,,,Somewhat disagree,Somewhat disagree,,Somewhat agree,Disagree,Somewhat disagree,Disagree,,,,,
532,"Ease of connection,Other",Unfriendly to Android phones.,,Agree,,,,Yes,Agree,,,Agree,,,Agree,Agree,Agree,Agree,Agree,,Yes,Blackboard,Agree,,,,,,,,,,,,Agree,Agree,Agree,,No,,,Agree,Agree,,Somewhat agree,,,,,,,,
533,,,I  never use it because it's so confusing to get on to it through my phone.  So I just use data.,Agree,,,I have never had any issues with it and have never asked for help.,Yes,Agree,,,Somewhat disagree,"Ease of use,Other",It's just less intuitive than zoom.,Agree,Somewhat disagree,Agree,Agree,,"Well it is annoying all the security--the two-factor authorization, etc. but I understand why it's necessary.",Yes,"Blackboard,Kaltura",Agree,,,Agree,,,,,,,,,Agree,Agree,Agree,I think computer services is great at getting back to me about any problems I have.  They are always professional and smart.  ,No,,,,Agree,I don't ever navigate the sites--I just google things.,Somewhat agree,Somewhat agree,Disagree,,,I love sending a help email and getting a very quick response. ,"Oh you know, computers are getting increasingly complicated, it's hard to make everything work together and it takes so much time!  ","I don't really know very much about the accessibility guidelines but I think that's my fault, not Computing.",
534,,,,Agree,,,,Yes,Agree,,,Agree,,,Agree,Somewhat agree,Somewhat disagree,Agree,Agree,,Yes,Blackboard,Agree,,,,,,,,,,,,Agree,Agree,Agree,,No,,,Agree,Agree,The AppsAnywhere software when accessed remotely from a personal laptop crashes sometimes making it difficult to launch research related softwares.,Agree,Agree,Agree,Agree,,"The softwares provided by the campus computing for research like matlab, python, visual studio, etc. are helpful.",Allocation of the GPU clusters is a bottleneck. We get access to very few GPUs for our research which limits our computational power. It would be helpful if the number of resources were increased.,The access to the GPU clusters is removed without prior notification. All the codes and results that were stored on the servers are lost. It would be helpful if a notification mail be sent before removing the access so that a copy of all the codes and results can be saved.  ,Correspondence with the people concerned is another challenge. It would be helpful if communication could be made faster and more streamlined. 
535,Other,,,Agree,,,,Yes,Agree,,,Agree,,,Agree,Agree,Agree,Agree,Disagree,,No,,,,,,,,,,,,,,,,,,Yes,Other,,Agree,Agree,,Agree,Agree,Agree,Somewhat agree,,,,,
536,"Ease of connection,Stability",,,Somewhat disagree,"Ease of use,Platform features",,,Yes,Somewhat agree,,,,,,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Somewhat disagree,,Yes,Blackboard,Disagree,"Ease of use,Platform reliability,Platform features",,,,,,,,,,,Somewhat disagree,Agree,Agree,,No,,,Somewhat disagree,Somewhat agree,,Somewhat agree,Disagree,Somewhat disagree,Somewhat agree,,,My university owned computer never had enough space / memory and is always slowing me down. ,Blackboard is really clumsy to use and organized in an inconvenient way; trying to navigate it (even with the good help of the IT team) takes way too much time.,My students report internet connectivity problems and I also have noticed them too.
537,,,works fine in Los Angeles,Agree,,,,Yes,Agree,,,Somewhat disagree,"Ease of use,Other",zoom is easier to use and has more features,Agree,Agree,Agree,Agree,Agree,,Yes,"Blackboard,Kaltura",Somewhat agree,,,Agree,,,,,,,,,Agree,Agree,Agree,,No,,,Agree,Agree,,Disagree,Agree,Disagree,Disagree,,Mostly everything work well for us.,"Because we are in Los Angeles and have night classes, if there is a tech problem sometimes there is no one to help our faculty. Additionally, if there is a problem with malfunctioning tech...it is hard for support staff on campus to help us.   Would help if there was a local company in LA who could step in on-site when needed.",,
538,,,It is not easy to use on cellphone; we do not know how to log in to it. ,Disagree,"Ease of use,Other",downloading excel rosters,"It is not easy to use, e.g. one cannot easily navigate the Parking portal. The Rosters excel sheet are not very easy to use; there is always a message that appears before being able to open them. ",Yes,Strongly agree,,,Strongly disagree,Ease of use,,Somewhat agree,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,,Yes,Blackboard,Strongly disagree,"Ease of use,Other",The old grading system was better because I was able to send the paper after grading it to student after entering grade. It is not easy to merge courses. ,,,,,,,,,,,,Strongly agree,,No,,,Disagree,Somewhat disagree,,Somewhat agree,Somewhat agree,Somewhat disagree,,,,,,
539,,,,Agree,,,,Yes,Agree,,,Somewhat agree,,,,Agree,Agree,Agree,Somewhat agree,,No,,,,,,,,,,,,,,,,,,No,,,Somewhat agree,Somewhat agree,,Agree,Agree,,Somewhat agree,,,,,
540,,,,Agree,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,,,It does not work all the time and across campus.,Strongly agree,,,,Yes,Agree,,,Strongly agree,,,Strongly agree,Agree,Agree,Strongly agree,Agree,,Yes,Blackboard,Strongly agree,,,,,,,,,,,,Agree,Agree,Somewhat agree,,No,,,Agree,Agree,,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,,,,,
542,Stability,,Drops the connection fairly frequently on my phone.,Somewhat agree,,,,Yes,Agree,,,Somewhat disagree,Ease of use,,Somewhat disagree,Somewhat disagree,,Somewhat agree,Disagree,Repeated 2-factor authentication for things like Blackboard seem excessive. Also wonder about how easy it is to use when traveling outside US.,Yes,Blackboard,Somewhat disagree,"Ease of use,Platform features",,,,,,,,,,,Somewhat disagree,,,,No,,,Somewhat disagree,Somewhat disagree,,,,Somewhat disagree,Somewhat agree,,Wired network,,,
543,"Ease of connection,Speed,Stability",,the hot spot issue not much you can do about it.,Disagree,"Ease of use,Platform features,Other",too orange,everything is hidden behind icons that are childish. Hire a designer.,Yes,Strongly agree,,,Strongly disagree,"Reliability,Picture quality,Sound quality,Other",clunky,Strongly Disagree,Strongly Disagree,Strongly disagree,Somewhat agree,Strongly disagree,,Yes,"Blackboard,Kaltura,PlayPosit,Google Suite",Somewhat agree,,,Somewhat agree,,,Strongly disagree,"Ease of use,Other",clunky,Strongly agree,,,Disagree,Somewhat agree,Strongly disagree,Google suite is great. But the IT guy at Newhouse says that it is not secure and deters people from using it when the university says it can be used. Tell Tibbens to give it up and that his NHcloud is slow and clunky.,No,,,,,,Agree,Agree,Strongly disagree,Disagree,,ZOOM is awesome! Google Drive is Awesome!,NHCloud Blows.,I want admin rights on my laptop. Totally ridiculous that I need to be innovative to do my research but every time I want to install something to do something innovative I need to ask permission from my IT guy who acts like he is the all-knowing Dad who has to ok my boyfriend.,"IT has too much power. Especially at Newhouse. Stop telling Newhouse faculty what they can or cant do. NICS is holding the school back. Stop blaming everything on accessibility, o coming up with BS responses and saying No to everything."
544,,,,Agree,,,,No,,,,,,,Agree,Strongly agree,Strongly agree,Agree,Disagree,,Yes,Blackboard,Agree,,,,,,,,,,,,Disagree,,,"It would be helpful if the Tech Support people gave several lessons on how to use the technology in the classroom.  I have attended all the workshops, and the information is too advanced for me.  I need instruction in the basics.",No,,,Somewhat agree,Somewhat agree,"When I learn to use the website, they change it.",Somewhat disagree,Agree,Agree,Agree,"I have not created content or webpages, and I don't know how to do it.","When I call Tech Support with a particular question, they are always helpful.","The only technology that I use in class is the doc cam.  I teach in Bowne 116, and there is no doc cam there.",,
545,"Ease of connection,Speed,Stability",,Network speed needs to greatly improve ,Agree,,,Not all changes are communicated university wide,Yes,Somewhat agree,,,Agree,,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,"Training should be done more than one year or provide educational webinars about security and risk when using computer, software, and other tech tools .",No,,,,,,,,,,,,,,,,,,No,,,Somewhat disagree,Disagree,It is not navigational user friendly,Somewhat agree,Disagree,Somewhat disagree,Strongly agree,,Student Affairs Technical Services and General IT-Enterprise Support team,,,
546,"Stability,Other",At HBC we have constant disconnections ,"We can not always depend on it in certain buildings, HBC is a disaster.",Disagree,Other,Too many steps,It is not good. Often times I have to disconnect and then connect again.,Yes,Strongly agree,,,Agree,,,Somewhat disagree,Disagree,Disagree,Somewhat agree,Disagree,"There was a brake this year that affected me, it isn’t working fine.",Yes,Blackboard,Agree,,,,,,,,,,,,Agree,,Somewhat agree,,No,,,Agree,Agree,,Agree,Agree,Agree,Disagree,,"SU doesn’t have a good computing team. I have work in other universities, here and overseas, an SU is the worse in that concern.",Always have to wait months for an update of all my systems. There are not enough people for the whole community.,"Some of the personal is excellent, others not that good.",
547,,,Service is spoty,Agree,,,,Yes,Agree,,,Somewhat disagree,Ease of use,,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,,No,,,,,,,,,,,,,,,,,,No,,,Somewhat agree,Somewhat agree,,Somewhat disagree,Somewhat agree,Disagree,Strongly agree,,,,,
548,,,sometimes it is glitchy--sometimes my computer has trouble connecting to it. ,Agree,,,,Yes,Strongly agree,,,,,,Agree,Strongly agree,Agree,Strongly agree,Somewhat disagree,,Yes,"Blackboard,Google Suite",Somewhat disagree,"Ease of use,Platform features",,,,,,,,Agree,,,Strongly agree,Strongly agree,Strongly agree,"First, let me say that I think ITS is great--always quick to respond and always very helpful whether I am in the classroom or just making a request outside of my teaching hours.  Love the staff!

BlackBoard is very clunky and old-school and makes more work for students and professors.  I don't understand why we haven't switched to Google Classroom yet--I visit high schools as part of my job and it seems so much more intuitive and less clunky.  For instance, why can't students upload ""Pages"" documents or google docs on BlackBoard that I can then grade 'in-line?' Why does it all have to be Word or pdf?  Now, too with the way that courses are visible in BB, it's difficult for me to organize the courses in the way that I want to see them. I liked being able to organize them myself in a way that felt useful for me.  Also, the in-line grading feature is very wonky at times, sometimes, I try to highlight two-three sentences I want to comment on and it will grab a whole page of text (for some reason) and then won't let me let go of any. It's very glitchy at times.  ",No,,,Agree,Agree,,Disagree,Somewhat disagree,Agree,Agree,,"The helpdesk!  I also like the emails from ITS with teaching tools, etc. ","AirOrangeX connectivity--not just for me (as I mentioned, it sometimes is glitchy) but very often nowadays, students have a lot of trouble connecting to wi-fi in class.  This problem just seemed to begin this year.  ",,
549,"Ease of connection,Speed,Stability,Information Technology Services support for using/troubleshooting",,"Slow, unreliable, and hard to connect on mobile phones",Somewhat disagree,"Ease of use,Platform features",,,Yes,Strongly agree,,,Disagree,"Ease of use,Reliability,Picture quality,Sound quality",,Somewhat disagree,Strongly agree,Agree,Agree,Agree,,Yes,Blackboard,Strongly agree,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,,No,,,Somewhat agree,Agree,,Somewhat disagree,,,,,Wireless network needs upgrade ,Connectivity low,Wired office internet is slow,
550,,,,Somewhat agree,,,,Yes,Agree,,,,,,Disagree,Disagree,Agree,,Strongly disagree,"The fact that faculty cannot be a full administrator of their main computer has always been a significant hassle for me. It has cost me many many hours of wasted time. I do not believe that there is a legitimate security-related reason for doing things this way, and that there are better alternatives, at least as an option for faculty who can handle administering their own computers effectively and efficiently. This has been a significant source of frustration for me the entire time I have been at SU.",Yes,Blackboard,Disagree,Ease of use,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat agree,,No,,,Somewhat agree,Somewhat agree,"I think some of the department websites are quite poor. It is not always easy to find information, and in some cases sacrifices seem to have been made to conform to a standard template, or perhaps to make it easier for a non-specialist to set up the sites. The most recent transition to a new, consistent format seems to have lost a lot in the process. I realize that setting up and maintaining websites is very difficult, and that it isn't easy to find people with the skills to do this well.",Agree,Somewhat disagree,Agree,Disagree,,"I have been impressed with classroom support the few times that I have had to call them. The responses have been quick, and they have solved problems.","I am an inveterate tinkerer with my main computer. I install/uninstall software regularly. I keep software up-to-date with the most recent versions and security updates. I do this because I spend most of my day on my computer and I want it to function exactly the way I want it to. Not having adminstrative control over my computer is a constant source of frustration, as are the various changes that ITS makes to the computer, and the software and profiles they install. To put things bluntly, in the past 15 years, I have never had a computer that I purchased myself and that I had any problems with that I couldn't solve myself. In contrast, I have never had a computer that I purchased through ITS that I did not have problems with. Given that I spend much of my work day in front of a computer, this is a source of near constant frustration. And I believe the security-related justifications for this are misguided.","Technical support though ITS is very slow. Perhaps the support team is understaffed, but this is not the impression that one gets when one visits the office in person. When faculty have a serious problem with a computer, it is usually a show-stopper, something that prevents them from doing their job. Too often, the solution is to drop off a laptop for a day or more. This is just not a workable situation. Problems need to be solved much more quickly. This is one reason I am very reluctant to go to ITS with any problems. It is another reason it would be very helpful to have full administrative access over my computer. In the worst-case scenario, I can wipe a computer clean and reinstall from a backup in less time then it takes ITS to figure something out.",
551,,,Still teaching 100% remotely to students who are trying to connect from off campus. This seems to be improving over last year.,Somewhat disagree,"Ease of use,Other",Findability,"It's better than it was before the redesign, but still not where it needs to be when it comes to deeply buried info.",Yes,Strongly agree,,,,,,Agree,Agree,Agree,Somewhat disagree,Disagree,,Yes,"Blackboard,Google Suite",Somewhat disagree,"Ease of use,Platform features",,,,,,,,Strongly agree,,,Somewhat agree,Strongly agree,Somewhat disagree,,No,,,,,,Strongly agree,,,,,Department-level support is always fantastic.,,,
552,,,,Agree,,,,Yes,Disagree,"Ease of use,Other",single use platform not integrated in other programs,Agree,,,Agree,Agree,,Agree,Somewhat disagree,,No,,,,,,,,,,,,,,,,,,No,,,Somewhat agree,Somewhat disagree,,Agree,Disagree,Somewhat agree,Somewhat agree,,,,,
553,,,,Strongly disagree,"Ease of use,Platform reliability",,"unreliable and hard to find anything. the redesign made it look nicer, but once you click a tile its the same mid-2000s clunky system. Just as an example, the instructions to bulk upload grades involve more than 20 steps!",Yes,Strongly agree,,,,,,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,"The use of computing resources has become more and more onerous over the past few years. For example, my office computer is locked down more and more, to the point where I can't even do simple updates (e.g. to R or Stata) anymore without asking someone from IT to come to my office and type in passwords. I used to be able to do that myself, but central IT has centralized and restricted it more and more. It's not clear to me how that improves security, all it does is make me spend more time getting things working. I'm at the point now where I often just bring my private laptop to the office.",Yes,Blackboard,Strongly disagree,"Ease of use,Platform reliability",,,,,,,,,,,Strongly disagree,,,"Blackboard is the worst thing about teaching at SU. It's sooo outdated and clunky. Even the simplest actions require dozens of clicks (just try getting a quiz from a past semester and deploy it in a current class without looking up the instructions). I can't for the life of me understand why we're not using Canvas or some other alternative, which are infinitely better and used by our peer institutions; and why we've apparently even extended our contract with Blackboard. ",No,,,,,,,Strongly disagree,Disagree,Disagree,,,Please allow faculty more leeway in setting up and updating their computer without centralizing and restricting everything. ,"Please allow email aliases. Having to use our NetID is really annoying and unprofessional (they sound like early 2000s AIM usernames). For example, my email address is the first letter of my first name, the first letter of my middle name, and then the first 6 of the 7 letters of my last name. I can't tell you how often people have told me that they mistyped my email and their correspondence didn't reach me. And it just sounds unprofessional to have such a weird email address. Why not allow aliases like firstname.lastname? Email addresses can be longer than 8 characters!",
554,,,Very inconsistent depending where on campus.,Strongly disagree,"Ease of use,Platform reliability,Platform features",,Awful ever since the update/change.,Yes,Agree,,,,,,Disagree,Strongly Disagree,Somewhat agree,Strongly disagree,Strongly disagree,"The yearly password change requirements are onerous and I do not see how they are providing advanced security. The specific requirements make it nearly impossible to create a password I can remember and then easily log into all over campus--library, every classroom I teach in which varies by semester, shared computers in shared offices, etc. The requirement for Multi-factor authentication is also extremely tedious and annoying. Just to log into my email or do something basic I have to log in, receive the code, enter the code but then also verify on all my Microsoft and Google accounts it was me, so enter new sets of codes. ",Yes,Blackboard,Disagree,"Ease of use,Platform features,Information Technology Services support for using/troubleshooting",,,,,,,,,,,Somewhat agree,Strongly disagree,Strongly disagree,,No,,,Agree,Somewhat disagree,,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,,,Accessing Blackboard past courses.,Navigating myslice,Log in issuee and MFA
555,,,,Agree,,,,Yes,Strongly agree,,,Strongly agree,,,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Somewhat agree,,Strongly agree,Agree,Strongly agree,Strongly agree,,,,,
